id,particular,from,amount,date,received_by,desc,approval_by,project_id,dealer_id,transaction_id,updated_by,created_by,deleted_by,created_by_origin,status,created_at,updated_at,deleted_at
,Hello ex amount 1000  app1,Received from amount 44592  app,1000,31-01-2022,1,,2,1,2,3,1,1,,,1,08-03-2022 16:21,08-03-2022 16:21,NULL
,Hello ex amount 4000  app7,Received from amount 44592  app,4000,31-01-2022,7,,1,4,7,3,5,7,,,1,08-03-2022 16:22,08-03-2022 16:22,NULL
,Hello ex amount 5000  app10,Received from amount 44592  app,5000,31-01-2022,10,,2,4,6,1,4,8,,,1,08-03-2022 16:22,08-03-2022 16:22,NULL
,Hello ex amount 2000  app3,Received from amount 44592  app,2000,31-01-2022,3,,2,6,2,4,3,5,,,1,08-03-2022 16:23,08-03-2022 16:23,NULL
,Hello ex amount 10000  app2,Received from amount 44592  app,10000,31-01-2022,2,,2,4,6,3,8,2,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 1000  app9,Received from amount 44592  app,1000,31-01-2022,9,,3,4,1,1,5,7,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 2000  app10,Received from amount 44592  app,2000,31-01-2022,10,,2,4,7,1,4,10,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 8000  app1,Received from amount 44592  app,8000,31-01-2022,1,,3,4,9,3,10,2,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 6000  app3,Received from amount 44592  app,6000,31-01-2022,3,,2,6,6,1,3,9,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 10000  app4,Received from amount 44592  app,10000,31-01-2022,4,,2,4,3,4,6,10,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 9000  app7,Received from amount 44592  app,9000,31-01-2022,7,,1,4,5,3,4,7,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 7000  app10,Received from amount 44592  app,7000,31-01-2022,10,,2,4,2,1,1,5,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 1000  app8,Received from amount 44592  app,1000,31-01-2022,8,,3,6,3,5,6,10,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 7000  app8,Received from amount 44592  app,7000,31-01-2022,8,,2,6,4,4,3,6,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 10000  app10,Received from amount 44592  app,10000,31-01-2022,10,,3,4,9,1,2,4,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 6000  app1,Received from amount 44592  app,6000,31-01-2022,1,,1,6,6,5,7,8,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 10000  app1,Received from amount 44592  app,10000,31-01-2022,1,,3,4,8,5,6,10,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 1000  app5,Received from amount 44592  app,1000,31-01-2022,5,,2,6,2,3,9,7,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 6000  app10,Received from amount 44592  app,6000,31-01-2022,10,,2,4,6,4,5,8,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 3000  app2,Received from amount 44592  app,3000,31-01-2022,2,,3,6,1,2,4,10,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 2000  app5,Received from amount 44592  app,2000,31-01-2022,5,,3,4,3,2,5,3,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 5000  app2,Received from amount 44592  app,5000,31-01-2022,2,,2,6,1,4,6,4,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 7000  app6,Received from amount 44592  app,7000,31-01-2022,6,,1,6,7,4,5,8,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 1000  app8,Received from amount 44592  app,1000,31-01-2022,8,,1,4,1,3,9,10,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 8000  app3,Received from amount 44592  app,8000,31-01-2022,3,,1,6,9,3,4,7,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 8000  app5,Received from amount 44592  app,8000,31-01-2022,5,,3,4,9,2,4,2,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 2000  app7,Received from amount 44592  app,2000,31-01-2022,7,,1,4,4,1,8,6,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 1000  app9,Received from amount 44592  app,1000,31-01-2022,9,,3,4,7,5,7,3,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
,Hello ex amount 8000  app10,Received from amount 44592  app,8000,31-01-2022,10,,3,4,9,4,4,8,,,1,08-03-2022 16:24,08-03-2022 16:24,NULL
